"Group.1","ACFL","AMCR","AMGO","AMKE","AMRE","BACS","BADO","BAEA","BARS","BBWD","BCNH","BEKI","BGGN","BHCO","BHNU","BLGR","BLJA","BLVU","BNST","BRTH","BTGR","CACH","CAEG","CARW","CEDW","CGDO","CHSW","COGA","COGR","CONI","COYE","CWWI","DOWO","EABL","EAKI","EAME","EAPH","EATO","EAWP","FICR","FISP","GBHE","GCFL","GRCA","GREG","GRHE","HOFI","HOWA","HOWR","INBU","KEWA","KILL","LAGU","LBHE","LESA","LOSH","LOWA","MALL","MIKI","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NRWS","OROR","OSPR","PABU","PIWA","PIWO","PRAW","PROW","PUMA","RBWO","REVI","RHWO","ROYT","RSHA","RTHA","RTHU","RWBL","SCTA","STKI","SUTA","TRES","TRHE","TUTI","WBNU","WEVI","WEWA","WHIB","WITU","WODU","WOTH","YBCH","YBCU","YCNH","YTVI","YTWA"
"HH01",0,1,0,0,0,0,0,4,0,8,0,0,0,0,2,23,7,1,0,6,1,1,0,2,0,0,0,0,0,0,7,0,3,9,3,1,0,0,0,0,0,0,9,0,0,2,1,0,0,23,0,1,4,0,1,1,0,0,0,0,27,0,0,11,0,1,34,2,21,8,1,1,0,3,1,0,3,1,2,4,0,0,0,0,2,0,0,8,2,0,0,0,0,0,0,7,0,0,2,0
"HH02",0,0,0,0,0,1,5,1,0,0,0,0,7,0,5,8,2,0,0,1,0,4,0,10,1,1,0,0,0,0,1,0,7,1,0,0,0,3,0,0,0,3,18,0,5,2,0,1,0,16,14,0,3,0,0,1,0,0,0,0,15,0,1,1,4,0,3,3,20,1,3,1,0,0,10,0,6,0,0,1,0,0,3,0,16,0,0,23,0,2,9,0,0,0,1,6,10,0,3,15
"HH04",0,1,0,1,0,10,3,0,0,0,0,1,23,0,0,17,4,3,0,3,0,6,0,18,0,0,0,2,0,0,1,0,1,9,3,0,0,0,6,0,0,2,15,0,0,4,0,18,2,4,21,0,4,0,0,0,0,0,8,0,5,1,0,1,0,0,6,0,25,4,7,3,4,0,5,6,2,0,4,6,0,0,32,0,45,0,0,7,10,5,6,0,0,0,0,14,15,0,16,1
"HH05",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0
"HH14",0,0,0,0,0,0,2,0,0,0,0,0,1,2,5,20,0,1,0,3,0,11,0,0,0,2,0,0,6,0,0,0,5,12,3,0,0,1,14,0,6,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,20,0,2,0,0,0,1,0,10,16,3,0,0,2,4,0,7,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1
"HH17",0,1,0,0,0,0,4,0,0,4,0,0,0,0,7,0,1,1,0,0,0,2,0,0,0,0,0,0,3,1,6,0,1,1,0,0,0,11,10,0,0,1,6,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,1,0,10,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0
"HH22",0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,4,8,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HH30",0,0,0,2,0,0,4,0,0,1,0,1,0,1,3,16,0,0,1,0,0,1,0,0,0,0,0,0,2,0,29,0,0,12,0,0,0,5,11,0,2,2,3,0,0,3,0,7,3,1,0,0,4,0,0,0,0,0,10,7,40,0,2,2,0,0,17,0,41,1,5,0,0,0,1,0,14,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,27,8,1,2,0
"HH31",0,0,0,1,0,0,8,0,0,0,0,2,0,2,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,5,4,0,0,4,3,0,7,1,0,0,0,1,0,8,0,1,0,0,1,1,0,0,0,0,2,5,12,0,0,0,1,1,7,0,13,8,0,3,0,0,1,0,4,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,2,0,3,4
"HH33",2,0,0,0,0,0,13,0,0,2,0,1,12,0,0,15,2,0,0,0,0,9,0,2,0,0,0,0,0,0,13,0,3,5,0,0,0,3,21,0,0,0,10,0,0,4,0,9,1,1,0,0,2,0,0,0,0,1,13,4,19,0,2,0,0,0,1,0,22,6,6,2,0,0,5,0,13,0,1,0,1,0,1,0,9,0,0,1,3,0,0,0,0,0,0,11,10,2,5,10
"HH45",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,0,0,0,1,0,9,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,5,0,13,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,4,0,1,0
"HH46",0,1,0,0,0,0,1,0,0,0,1,0,4,5,1,19,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,16,1,0,0,3,2,1,12,4,6,0,1,14,0,0,0,0,0,0,12,0,0,1,0,0,12,1,38,0,0,4,0,0,5,0,29,0,16,2,0,1,30,0,12,0,1,4,1,0,0,0,5,0,0,1,1,0,0,2,4,0,0,17,8,0,0,0
"HH48",4,2,0,0,0,0,7,0,0,0,0,2,1,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,1,0,0,0,3,0,39,0,8,12,10,0,0,3,0,5,0,9,0,0,15,0,0,0,0,0,27,1,14,0,1,0,0,0,0,0,24,11,11,7,0,0,23,1,22,0,3,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,2,10,0,0,25
"SP01",5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,3,0,0,0,6,0,10,0,0,0,3,13,0,0,0,0,0,0,3,0,5,0
"SP03",1,4,0,0,0,0,10,0,0,0,0,0,0,6,0,22,0,3,0,1,0,15,0,12,0,0,0,0,1,0,0,0,1,8,0,0,0,4,1,0,3,3,17,0,3,10,0,13,0,7,0,0,3,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,7,7,12,6,0,0,24,1,7,0,0,0,0,0,6,0,10,0,0,1,0,6,3,1,8,0,0,1,8,0,8,11
"SP05",9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,2,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,8,2,0,4,0,2,9,1,0,0,0,0,0,8,0,12,0,0,5,0,16,3,0,0,0,0,0,6,0,4,0
"SP09",12,0,0,0,5,0,10,0,0,0,0,1,11,1,0,5,0,1,0,2,0,3,0,7,0,0,0,0,0,0,1,0,9,8,0,0,0,0,3,0,0,1,20,0,0,6,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,9,0,0,0,8,3,7,0,13,1,10,0,3,1,0,2,24,0,21,0,2,2,3,5,1,0,0,0,0,0,5,1,3,3
"SP16",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,3,0,9,4,0,0,0,0,0,0,0,2,0
"UP01",0,0,0,5,0,0,11,4,1,4,0,2,0,0,5,7,3,0,0,5,0,1,0,1,0,0,0,0,0,0,14,0,3,11,10,0,0,12,13,0,0,0,12,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,5,24,0,2,2,0,0,3,0,22,3,3,3,0,2,3,1,16,0,5,3,0,0,7,1,11,0,0,2,1,1,0,0,0,0,1,9,6,0,5,5
"UP03",0,13,0,0,0,0,1,1,0,0,0,3,9,0,1,36,0,1,0,0,0,9,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,2,5,1,18,31,12,0,11,5,0,0,0,13,0,0,11,2,0,0,0,0,3,0,41,0,0,0,1,0,1,0,27,21,3,12,0,0,18,0,13,0,1,1,0,0,2,0,14,1,0,2,1,0,1,7,0,1,0,4,9,2,0,30
"UP04",0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,23,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,15,18,3,0,0,2,0,16,2,1,0,1,3,0,0,0,15,0,0,0,0,0,0,0,0,2,0,28,0,0,3,0,0,20,0,28,0,1,5,0,0,1,1,3,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0,4,2
"UP05",3,1,0,0,0,0,6,0,0,0,0,0,2,0,4,5,0,1,0,0,0,14,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,12,0,1,0,0,0,0,16,0,0,2,0,0,0,1,0,11,0,17,0,0,0,3,0,0,0,12,4,2,1,0,0,9,1,3,0,2,0,0,0,1,0,14,0,0,3,0,16,0,1,0,0,0,0,1,1,3,7
"UP06",12,0,1,0,0,0,2,0,0,1,1,0,16,8,4,11,0,4,0,1,1,11,0,11,0,0,0,0,1,0,0,0,3,1,0,0,0,14,1,0,2,2,9,0,2,3,0,2,0,11,0,0,8,0,0,0,0,1,5,0,13,1,0,0,6,0,0,0,10,4,2,1,0,0,4,7,1,1,0,0,0,0,1,0,5,0,1,6,1,12,1,3,0,0,0,0,6,0,0,9
