date,year,time,site,site_type,wetland_id,start_time
5/17/2022,2022,7:14,halidon,wetland,HH01,05/17/2022 7:10:42 AM
5/17/2022,2022,6:56,halidon,wetland,HH02,05/17/2022 6:53:18 AM
5/17/2022,2022,7:29,halidon,wetland,HH04,05/17/2022 7:26:00 AM
5/17/2021,2022,8:15,halidon,wetland,HH05,05/17/2022 8:08:15 AM
6/14/2022,2022,8:13,halidon,wetland,HH14,06/15/2022 8:23:04 AM
6/14/2022,2022,8:32,halidon,wetland,HH17,06/15/2022 8:15:06 AM
6/14/2022,2022,8:44,halidon,wetland,HH22,6/15/2022 12:07:00 AM
6/13/2022,2022,7:09,halidon,wetland,HH30,6/13/2022 7:16:03 AM
6/7/2022,2022,8:57,halidon,wetland,HH31,6/7/2022 9:00:05 AM
6/13/2022,2022,8:00,halidon,wetland,HH33,6/13/2022 8:02:52 AM
6/13/2022,2022,8:50,halidon,wetland,HH34,6/13/2022 8:23:06 AM
6/13/2022,2022,8:22,halidon,wetland,HH34R,6/13/2022 8:54:07 AM
6/7/2022,2022,8:34,halidon,wetland,HH45,6/7/22 8:36:15 AM
5/31/2022,2022,8:11,halidon,wetland,HH46,5/31/2022 8:13:06 AM
5/31/2022,2022,7:53,halidon,wetland,HH48,5/31/2022 7:54:06 AM
5/31/2022,2022,7:36,halidon,wetland,HH49,5/31/2022 7:39:03 AM
5/31/2022,2022,7:19,halidon,wetland,HH50,5/31/2022 7:20:06 AM
5/16/2022,2022,,stono,wetland,SP01,5/16/2022 8:42:02 AM
5/16/2022,2022,,stono,wetland,SP02,6/14/2022 9:00:06 AM
5/16/2022,2022,6:50,stono,wetland,SP03,5/16/2022 6:46:48 AM
6/1/2022,2022,8:55,stono,wetland,SP05,6/1/2022 8:09:11 AM
5/16/2022,2022,,stono,wetland,SP08,5/16/2022 7:10:03 AM
5/16/2022,2022,,stono,wetland,SP09,5/16/2022 8:22:03 AM
6/1/2022,2022,8:24,stono,wetland,SP16,6/1/2022 8:09:05 AM
6/13/2022,2022,8:34,halidon,upland,UP01,6/13/2022 8:22:06 AM
5/31/2022,2022,7:01,halidon,upland,UP03,5/31/2022 7:03:06 AM
5/17/2022,2022,7:50,halidon,upland,UP04,5/17/2022 7:46:02 AM
5/16/2022,2022,,stono,upland,UP05,5/16/2022 7:41:11 AM
6/1/2022,2022,7:26,stono,upland,UP06,6/1/2022 7:06:05 AM